num_keys,bucket_size,leaf_size,bits_per_key,build_time,hashing_time,bijection_time,splitting_time,bucket_time,splitting_tree,unary,fixed,bucket_prefixes
1e+06,2000,6,1.93551,3335120039,1866531852,436911079,2252117256,66472219,1930703,729094,1201609,4804
1e+06,2000,6,1.93389,3269763937,1862838688,436811678,2192565339,68513304,1929086,727505,1201581,4808
1e+06,2000,6,1.93577,3200633938,1863186960,438612072,2123757440,68576028,1930873,729254,1201619,4896
1e+06,2000,6,1.93284,3309064546,1862837114,438667060,2225090915,68540765,1928046,726445,1201601,4798
1e+06,100,7,1.81618,2408825045,1090015427,902136312,1159295209,85151605,1743642,453547,1290095,72538
1e+06,100,7,1.81645,2394387339,1090882921,908910018,1137863083,84048725,1744223,454072,1290151,72225
1e+06,100,7,1.81372,2407416643,1093466687,903026484,1156405680,84390291,1743058,452997,1290061,70663
1e+06,100,7,1.81441,2401028900,1104518182,899582518,1155465789,84025539,1741556,451505,1290051,72850
1e+06,100,7,1.81064,2404484365,1095666480,902976283,1154839426,84510747,1739667,449526,1290141,70975
1e+06,250,7,1.79798,2939257955,1323441740,922894520,1595620696,78601606,1766440,445854,1320586,31539
1e+06,250,7,1.79651,2916417630,1319900489,921879169,1584135186,67701982,1765345,444545,1320800,31164
1e+06,250,7,1.79638,2936706363,1328971718,921271086,1596563340,79079535,1764462,443728,1320734,31914
1e+06,250,7,1.79677,2938112951,1317894614,923081751,1596451223,78924049,1765292,444637,1320655,31476
1e+06,250,7,1.79655,2953610378,1304239231,925920485,1607767565,78964724,1765511,444838,1320673,31039
1e+06,500,7,1.79314,3342345019,1448178424,929314295,1948835546,73823891,1777106,446437,1330669,16039
1e+06,500,7,1.79378,3303486819,1455947315,929577303,1912268692,73649396,1776475,445883,1330592,17305
1e+06,500,7,1.79434,3332470172,1455010347,930582828,1935345431,73493569,1777034,446467,1330567,17305
1e+06,500,7,1.7949,3325410739,1456031924,932200496,1928303314,74331627,1777661,447081,1330580,17243
1e+06,500,7,1.79405,3271968853,1458862369,934418913,1887570531,57022464,1776839,446237,1330602,17211
1e+06,750,7,1.79295,3599510276,1547101203,927768101,2179668745,69893317,1781621,448266,1333355,11328
1e+06,750,7,1.79269,3612578271,1547572420,932964889,2184982381,70237359,1781383,447999,1333384,11307
1e+06,750,7,1.79278,3584087142,1554909122,929575006,2161792708,70183050,1781006,447623,1333383,11771
1e+06,750,7,1.79397,3575228291,1546333192,938786387,2144488521,70880232,1782625,449299,1333326,11349
1e+06,750,7,1.79304,3576621777,1547064989,934310218,2149586958,69649917,1781712,448360,1333352,11328
1e+06,1000,7,1.79341,3864021404,1620253007,936831452,2413012978,70780726,1784551,447660,1336891,8860
1e+06,1000,7,1.79256,3845287904,1605562417,936461909,2397996597,69531087,1783789,446848,1336941,8774
1e+06,1000,7,1.79312,3785941358,1620994053,936190274,2340394334,70643707,1784256,447288,1336968,8868
1e+06,1000,7,1.79319,3826795527,1621115583,939609194,2372732080,70479947,1784270,447327,1336943,8915
