num_keys,bucket_size,leaf_size,total_bits,build_time,hashing_time,bijection_time,splitting_time,splitting_tree,unary,fixed,bucket_prefixes,burr
1e+06,10,38,2185627,924222357,770625782,300141771,0,628000,387470,240530,525036,1032591
1e+06,10,38,2184629,917594644,770507286,300991811,0,626944,386383,240561,525036,1032649
1e+06,50,38,1720100,5098341526,1000316824,4293603446,147709969,555433,147895,407538,132537,1032130
1e+06,50,38,1725422,5154046907,1008022281,4331791143,143360613,555877,148416,407461,137538,1032007
1e+06,100,38,1639818,8638001631,1036073091,4838448973,3126572076,537336,91418,445918,71288,1031194
1e+06,100,38,1640660,8738263835,1033021946,4870503281,3192192461,536539,90569,445970,73163,1030958
1e+06,500,38,1599675,49231156132,1455168601,5445889930,42954458267,551709,71663,480046,16070,1031896
1e+06,500,38,1600537,48518311682,1468463624,5507703903,42171150555,551565,71497,480068,17243,1031729
1e+06,1000,38,1594311,51634390958,1623510126,5551296130,45168526169,554577,68766,485811,8813,1030921
1e+06,1000,38,1595180,51030742620,1622130053,5516955536,44600377571,554574,68772,485802,8875,1031731
1e+06,1500,38,1593407,53168209386,1645744965,5574153693,46684434934,555489,68037,487452,6007,1031911
1e+06,1500,38,1593114,52799293927,1645544879,5583881076,46301730328,554882,67412,487470,6091,1032141
1e+06,2000,38,1592679,54149521334,1726714953,5587896067,47613686217,555907,67696,488211,4551,1032221
1e+06,2000,38,1592008,53047230989,1717368832,5616467760,46485100587,555718,67531,488187,4540,1031750
1e+06,10,40,2185627,899353387,769588697,297810208,0,628000,387470,240530,525036,1032591
1e+06,10,40,2184629,903127977,770614817,300079049,0,626944,386383,240561,525036,1032649
1e+06,50,40,1710866,6557819464,1005149363,5764786943,133641171,546732,156267,390465,132537,1031597
1e+06,50,40,1716907,6516843390,1006493731,5740287901,128144845,546755,156260,390495,137538,1032614
1e+06,100,40,1636517,9048145128,1043027882,6134946846,2249652923,532418,105015,427403,71288,1032811
1e+06,100,40,1636438,9124845776,1037812391,6108049175,2354315673,532124,104639,427485,73163,1031151
1e+06,500,40,1590032,55609897897,1441755555,7006386996,47796027539,542278,85438,456840,16070,1031684
1e+06,500,40,1593514,55587347834,1457767751,7094438008,47676462853,542773,85968,456805,17243,1033498
1e+06,1000,40,1586113,56144718519,1631361790,7078858063,48162922901,545375,83643,461732,8813,1031925
1e+06,1000,40,1585182,56754214344,1635850729,7129704759,48718053638,545316,83627,461689,8875,1030991
1e+06,1500,40,1584735,57268757545,1648981194,7137033392,49216136794,546471,83097,463374,6007,1032257
1e+06,1500,40,1585269,58398902994,1643758730,7233965260,50253780068,547467,84116,463351,6091,1031711
1e+06,2000,40,1584578,58325700532,1721619271,7154485026,50217976427,546925,82748,464177,4551,1033102
1e+06,2000,40,1583345,58300879981,1721919666,7162896570,50188251412,546993,82787,464206,4540,1031812
1e+06,10,42,2185627,904597567,769004556,298991030,0,628000,387470,240530,525036,1032591
1e+06,10,42,2184629,904146302,771807047,301034298,0,626944,386383,240561,525036,1032649
1e+06,50,42,1699967,8423435862,1004894104,7654065033,119090731,535595,143501,392094,132537,1031835
1e+06,50,42,1703999,8350985481,1009604124,7588022818,116186741,534540,142356,392184,137538,1031921
1e+06,100,42,1631155,10546935265,1040299997,7979637475,1900493068,528834,99170,429664,71288,1031033
1e+06,100,42,1632682,10575781358,1038993916,8014307985,1895493682,528347,98580,429767,73163,1031172
1e+06,500,42,1583196,60469609479,1394523264,9107848082,50573743521,535816,71894,463922,16070,1031310
1e+06,500,42,1583963,60264241688,1418094133,9138815983,50341933500,536089,72151,463938,17243,1030631
1e+06,1000,42,1579830,61878775380,1577018889,9167483220,51851224232,539046,70034,469012,8813,1031971
1e+06,1000,42,1578959,62192586923,1575466467,9236936428,52092355240,538520,69486,469034,8875,1031564
1e+06,1500,42,1578595,63381634785,1635398782,9203823174,53282016143,539828,69088,470740,6007,1032760
1e+06,1500,42,1578625,64095430692,1631133879,9257526305,53951061691,540303,69568,470735,6091,1032231
1e+06,2000,42,1575975,64228802855,1686110726,9257692558,54043778292,540910,69319,471591,4551,1030514
1e+06,2000,42,1575913,64324605947,1688400230,9258092512,54131353250,540930,69327,471603,4540,1030443
1e+06,10,44,2185627,906954308,770739518,298024317,0,628000,387470,240530,525036,1032591
1e+06,10,44,2184629,906964436,771117231,302138120,0,626944,386383,240561,525036,1032649
1e+06,50,44,1687886,10789108009,982400822,10039873102,103695732,525944,132776,393168,132537,1029405
1e+06,50,44,1694125,10722674145,992243221,9965942984,102427762,524781,131577,393204,137538,1031806
1e+06,100,44,1629455,12915973883,1046142925,10625378697,1622292013,525424,94383,431041,71288,1032743
1e+06,100,44,1629839,12854141015,1043824881,10556009680,1623596191,524957,93920,431037,73163,1031719
1e+06,500,44,1578873,63545830432,1351556619,11716412543,51062097869,530284,64849,465435,16070,1032519
1e+06,500,44,1578802,63895668659,1367647883,11731344252,51398912003,529962,64501,465461,17243,1031597
1e+06,1000,44,1574420,66275771073,1518128368,11740521615,53688362756,533890,63643,470247,8813,1031717
1e+06,1000,44,1573927,67111567932,1520961914,11957324835,54308874189,533803,63528,470275,8875,1031249
1e+06,1500,44,1574876,68394493158,1629984799,11944005925,55551423485,535383,63525,471858,6007,1033486
1e+06,1500,44,1571937,67855759186,1627003167,11815932203,55141423429,535137,63312,471825,6091,1030709
1e+06,2000,44,1572258,69326512856,1667842207,12026501976,56379649363,535925,63180,472745,4551,1031782
1e+06,2000,44,1572664,70466074373,1671339489,12074651772,57458126523,536119,63395,472724,4540,1032005
1e+06,10,46,2185627,925285430,768238549,298303370,0,628000,387470,240530,525036,1032591
1e+06,10,46,2184629,924279636,772028855,300723928,0,626944,386383,240561,525036,1032649
1e+06,50,46,1677039,13606361055,974128568,12876261569,89262696,513967,119721,394246,132537,1030535
1e+06,50,46,1683676,13595308399,994735560,12862535931,87464961,513702,119345,394357,137538,1032436
1e+06,100,46,1623778,15818353867,1059007112,13816255129,1340011159,519346,87549,431797,71288,1033144
